Section,Title,Description
8,—It is not defamation to prefer in good faith an accusation against any person to any of,those who have lawful authority over that person with respect to the subject-matter of accusation.
8,"Amount of fine, liability in default of payment of fine, etc.—(1) Where no sum is expressed to","which a fine may extend, the amount of fine to which the offender is liable is unlimited, but shall not be"
8,"Amount of fine, liability in default of payment of fine, etc.",9. Limit of punishment of offence made up of several offences.
9,—It is not defamation to make an imputation on the character of another provided that,"the imputation be made in good faith for the protection of the interests of the person making it, or of any"
9,Limit of punishment of offence made up of several offences.—(1) Where anything which is an,"offence is made up of parts, any of which parts is itself an offence, the offender shall not be punished"
10,"Punishment of person guilty of one of several offences, judgment stating that it is doubtful of",which.
10,"Punishment of person guilty of one of several offences, judgment stating that it is doubtful",of which.—In all cases in which judgment is given that a person is guilty of one of several offences
10,"—It is not defamation to convey a caution, in good faith, to one person against another,","provided that such caution be intended for the good of the person to whom it is conveyed, or of some"
11,Solitary confinement.—Whenever any person is convicted of an offence for which under this,"Sanhita the Court has power to sentence him to rigorous imprisonment, the Court may, by its sentence,"
11,Solitary confinement.,12. Limit of solitary confinement.
12,"Limit of solitary confinement.—In executing a sentence of solitary confinement, such","confinement shall in no case exceed fourteen days at a time, with intervals between the periods of solitary"
13,Enhanced punishment for certain offences after previous conviction.,CHAPTER III
13,"Enhanced punishment for certain offences after previous conviction.—Whoever, having been","convicted by a Court in India, of an offence punishable under Chapter X or Chapter XVII of this Sanhita"
14,"Act done by a person bound, or by mistake of fact believing himself bound, by law.—","Nothing is an offence which is done by a person who is, or who by reason of a mistake of fact and not by"
14,"Act done by a person bound, or by mistake of fact believing himself bound, by law.",15. Act of Judge when acting judicially.
15,Act of Judge when acting judicially.—Nothing is an offence which is done by a Judge when,"acting judicially in the exercise of any power which is, or which in good faith he believes to be, given to"
16,Act done pursuant to judgment or order of Court.,"17. Act done by a person justified, or by mistake of fact believing himself justified, by law."
16,"Act done pursuant to judgment or order of Court.—Nothing which is done in pursuance of, or","which is warranted by the judgment or order of, a Court; if done whilst such judgment or order remains in"
17,"Act done by a person justified, or by mistake of fact believing himself justified, by law.—","Nothing is an offence which is done by any person who is justified by law, or who by reason of a mistake"
18,"Accident in doing a lawful act.—Nothing is an offence which is done by accident or misfortune,",and without any criminal intention or knowledge in the doing of a lawful act in a lawful manner by lawful
18,Accident in doing a lawful act.,"19. Act likely to cause harm, but done without criminal intent, and to prevent other harm."
19,"Act likely to cause harm, but done without criminal intent, and to prevent other harm.—",Nothing is an offence merely by reason of its being done with the knowledge that it is likely to cause
20,Act of a child under seven years of age.,21. Act of a child above seven and under twelve years of age of immature understanding.
20,Act of a child under seven years of age.—Nothing is an offence which is done by a child under,seven years of age.
21,Act of a child above seven and under twelve years of age of immature understanding.—,"Nothing is an offence which is done by a child above seven years of age and under twelve years of age,"
22,"Act of a person of unsound mind.—Nothing is an offence which is done by a person who, at the","time of doing it, by reason of unsoundness of mind, is incapable of knowing the nature of the act, or that"
22,Act of a person of unsound mind.,23. Act of a person incapable of judgment by reason of intoxication caused against his will.
23,Act of a person incapable of judgment by reason of intoxication caused against his will.—,"Nothing is an offence which is done by a person who, at the time of doing it, is, by reason of intoxication,"
24,Offence requiring a particular intent or knowledge committed by one who is intoxicated.,
24,Offence requiring a particular intent or knowledge committed by one who is intoxicated.—,"In cases where an act done is not an offence unless done with a particular knowledge or intent, a person"
25,"Act not intended and not known to be likely to cause death or grievous hurt, done by","consent.—Nothing which is not intended to cause death, or grievous hurt, and which is not known by the"
25,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent.","26. Act not intended to cause death, done by consent in good faith for person's benefit."
26,"Act not intended to cause death, done by consent in good faith for person’s benefit.—","Nothing, which is not intended to cause death, is an offence by reason of any harm which it may cause, or"
27,"Act done in good faith for benefit of child or person of unsound mind, by, or by consent of","guardian.—Nothing which is done in good faith for the benefit of a person under twelve years of age, or"
27,"Act done in good faith for benefit of child or person of unsound mind, by, or by consent of",guardian.
28,Consent known to be given under fear or misconception.,29. Exclusion of acts which are offences independently of harm caused.
28,Consent known to be given under fear or misconception.—A consent is not such a consent as,"is intended by any section of this Sanhita,—"
29,Exclusion of acts which are offences independently of harm caused.—The exceptions in,"sections 25, 26 and 27 do not extend to acts which are offences independently of any harm which they"
30,Act done in good faith for benefit of a person without consent.,31. Communication made in good faith.
30,Act done in good faith for benefit of a person without consent.—Nothing is an offence by,"reason of any harm which it may cause to a person for whose benefit it is done in good faith, even"
31,Communication made in good faith.—No communication made in good faith is an offence by,"reason of any harm to the person to whom it is made, if it is made for the benefit of that person."
32,Act to which a person is compelled by threats.,33. Act causing slight harm.
32,"Act to which a person is compelled by threats.—Except murder, and offences against the State","punishable with death, nothing is an offence which is done by a person who is compelled to do it by"
33,"Act causing slight harm.—Nothing is an offence by reason that it causes, or that it is intended to","cause, or that it is known to be likely to cause, any harm, if that harm is so slight that no person of"
34,Things done in private defence.,35. Right of private defence of body and of property.
34,Things done in private defence.—Nothing is an offence which is done in the exercise of the,right of private defence.
35,"Right of private defence of body and of property.—Every person has a right, subject to the","restrictions contained in section 37, to defend—"
36,"Right of private defence against act of a person of unsound mind, etc.",37. Acts against which there is no right of private defence.
36,"Right of private defence against act of a person of unsound mind, etc.—When an act, which","would otherwise be a certain offence, is not that offence, by reason of the youth, the want of maturity of"
37,Acts against which there is no right of private defence.—(1) There is no right of private,"defence, —"
38,When right of private defence of body extends to causing death.,39. When such right extends to causing any harm other than death.
38,When right of private defence of body extends to causing death.—The right of private,"defence of the body extends, under the restrictions specified in section 37, to the voluntary causing of"
39,When such right extends to causing any harm other than death.—If the offence be not of any,"of the descriptions specified in section 38, the right of private defence of the body does not extend to the"
40,Commencement and continuance of right of private defence of body.—The right of private,defence of the body commences as soon as a reasonable apprehension of danger to the body arises from
40,Commencement and continuance of right of private defence of body.,41. When right of private defence of property extends to causing death.
41,When right of private defence of property extends to causing death.—The right of private,"defence of property extends, under the restrictions specified in section 37, to the voluntary causing of"
42,"When such right extends to causing any harm other than death.—If the offence, the","committing of which, or the attempting to commit which occasions the exercise of the right of private"
42,When such right extends to causing any harm other than death.,43. Commencement and continuance of right of private defence of property.
43,Commencement and continuance of right of private defence of property.—The right of,"private defence of property,—"
44,Right of private defence against deadly assault when there is risk of harm to innocent person.,CHAPTER IV
44,Right of private defence against deadly assault when there is risk of harm to innocent,person.—If in the exercise of the right of private defence against an assault which reasonably causes the
45,"Abetment of a thing.—A person abets the doing of a thing, who—",(a) instigates any person to do that thing; or
45,Abetment of a thing.,46. Abettor.
46,"Abettor.—A person abets an offence, who abets either the commission of an offence, or the","commission of an act which would be an offence, if committed by a person capable by law of committing"
47,Abetment in India of offences outside India.—A person abets an offence within the meaning of,"this Sanhita who, in India, abets the commission of any act without and beyond India which would"
47,Abetment in India of offences outside India.,48. Abetment outside India for offence in India.
48,Abetment outside India for offence in India.—A person abets an offence within the meaning of,"this Sanhita who, without and beyond India, abets the commission of any act in India which would"
49,Punishment of abetment if act abetted is committed in consequence and where no express,provision is made for its punishment.
49,Punishment of abetment if act abetted is committed in consequence and where no express,"provision is made for its punishment.—Whoever abets any offence shall, if the act abetted is"
50,Punishment of abetment if person abetted does act with different intention from that of,abettor.
50,Punishment of abetment if person abetted does act with different intention from that of,"abettor.—Whoever abets the commission of an offence shall, if the person abetted does the act with a"
51,Liability of abettor when one act abetted and different act done.,52. Abettor when liable to cumulative punishment for act abetted and for act done.
51,Liability of abettor when one act abetted and different act done.—When an act is abetted and,"a different act is done, the abettor is liable for the act done, in the same manner and to the same extent as"
52,Abettor when liable to cumulative punishment for act abetted and for act done.—If the act,"for which the abettor is liable under section 51 is committed in addition to the act abetted, and constitute"
53,Liability of abettor for an effect caused by act abetted different from that intended by,abettor.—When an act is abetted with the intention on the part of the abettor of causing a particular
53,Liability of abettor for an effect caused by act abetted different from that intended by abettor.,54. Abettor present when offence is committed.
54,"Abettor present when offence is committed.—Whenever any person, who is absent would be","liable to be punished as an abettor, is present when the act or offence for which he would be punishable in"
55,Abetment of offence punishable with death or imprisonment for life.—Whoever abets the,"commission of an offence punishable with death or imprisonment for life, shall, if that offence be not"
55,Abetment of offence punishable with death or imprisonment for life.,56. Abetment of offence punishable with imprisonment.
56,Abetment of offence punishable with imprisonment.—Whoever abets an offence punishable,"with imprisonment shall, if that offence be not committed in consequence of the abetment, and no express"
57,Abetting commission of offence by public or by more than ten persons.,58. Concealing design to commit offence punishable with death or imprisonment for life.
57,Abetting commission of offence by public or by more than ten persons.—Whoever abets the,"commission of an offence by the public generally or by any number or class of persons exceeding ten,"
58,Concealing design to commit offence punishable with death or imprisonment for life.—,Whoever intending to facilitate or knowing it to be likely that he will thereby facilitate the commission of
59,Public servant concealing design to commit offence which it is his duty to prevent.—,"Whoever, being a public servant, intending to facilitate or knowing it to be likely that he will thereby"
59,Public servant concealing design to commit offence which it is his duty to prevent.,60. Concealing design to commit offence punishable with imprisonment.
60,"Concealing design to commit offence punishable with imprisonment.—Whoever, intending to",facilitate or knowing it to be likely that he will thereby facilitate the commission of an offence punishable
61,Criminal conspiracy.,Of attempt
61,"Criminal conspiracy.—(1) When two or more persons agree with the common object to do, or",cause to be done—
62,Punishment for attempting to commit offences punishable with imprisonment for life or,other imprisonment.—Whoever attempts to commit an offence punishable by this Sanhita with
62,Punishment for attempting to commit offences punishable with imprisonment for life or other,imprisonment.
63,Rape.,64. Punishment for rape.
63,Rape.—A man is said to commit “rape” if he—,"(a) penetrates his penis, to any extent, into the vagina, mouth, urethra or anus of a woman or"
63,"68. Sexual intercourse by a person in authority.—Whoever, being—",(a) in a position of authority or in a fiduciary relationship; or
64,"69. Sexual intercourse by employing deceitful means, etc.—Whoever, by deceitful means or by","making promise to marry to a woman without any intention of fulfilling the same, has sexual intercourse"
64,"Punishment for rape.—(1) Whoever, except in the cases provided for in sub-section (2),","commits rape, shall be punished with rigorous imprisonment of either description for a term which shall"
65,Punishment for rape in certain cases.,66. Punishment for causing death or resulting in persistent vegetative state of victim.
65,"Punishment for rape in certain cases.—(1) Whoever, commits rape on a woman under sixteen",years of age shall be punished with rigorous imprisonment for a term which shall not be less than twenty
66,Punishment for causing death or resulting in persistent vegetative state of victim.—,"Whoever, commits an offence punishable under sub-section (1) or sub-section (2) of section 64 and in the"
67,Sexual intercourse by husband upon his wife during separation.,68. Sexual intercourse by a person in authority.
67,Sexual intercourse by husband upon his wife during separation.—Whoever has sexual,"intercourse with his own wife, who is living separately, whether under a decree of separation or"
69,"Sexual intercourse by employing deceitful means, etc.",70. Gang rape.
70,Gang rape.—(1) Where a woman is raped by one or more persons constituting a group or acting,"in furtherance of a common intention, each of those persons shall be deemed to have committed the"
71,Punishment for repeat offenders.,"72. Disclosure of identity of victim of certain offences, etc."
71,Punishment for repeat offenders.—Whoever has been previously convicted of an offence,punishable under section 64 or section 65 or section 66 or section 70 and is subsequently convicted of an
72,"Disclosure of identity of victim of certain offences, etc.—(1) Whoever prints or publishes the",name or any matter which may make known the identity of any person against whom an offence under
73,Printing or publishing any matter relating to Court proceedings without permission.,Of criminal force and assault against woman
73,Printing or publishing any matter relating to Court proceedings without permission.—,Whoever prints or publishes any matter in relation to any proceeding before a Court with respect to an
74,Assault or use of criminal force to woman with intent to outrage her modesty.,75. Sexual harassment.
74,Assault or use of criminal force to woman with intent to outrage her modesty.—Whoever,"assaults or uses criminal force to any woman, intending to outrage or knowing it to be likely that he will"
75,Sexual harassment.—(1) A man committing any of the following acts:—,(i) physical contact and advances involving unwelcome and explicit sexual overtures; or
76,Assault or use of criminal force to woman with intent to disrobe.—Whoever assaults or uses,criminal force to any woman or abets such act with the intention of disrobing or compelling her to be
76,Assault or use of criminal force to woman with intent to disrobe.,77. Voyeurism.
77,"Voyeurism.—Whoever watches, or captures the image of a woman engaging in a private act in",circumstances where she would usually have the expectation of not being observed either by the
78,Stalking.,"79. Word, gesture or act intended to insult modesty of a woman."
78,Stalking.—(1) Any man who—,"(i) follows a woman and contacts, or attempts to contact such woman to foster personal"
79,"Word, gesture or act intended to insult modesty of a woman.—Whoever, intending to insult","the modesty of any woman, utters any words, makes any sound or gesture, or exhibits any object in any"
80,Dowry death.—(1) Where the death of a woman is caused by any burns or bodily injury or,occurs otherwise than under normal circumstances within seven years of her marriage and it is shown that
80,Dowry death.,
81,Cohabitation caused by man deceitfully inducing belief of lawful marriage.,82. Marrying again during lifetime of husband or wife.
81,Cohabitation caused by man deceitfully inducing belief of lawful marriage.—Every man who,by deceit causes any woman who is not lawfully married to him to believe that she is lawfully married to
82,"Marrying again during lifetime of husband or wife.—(1) Whoever, having a husband or wife","living, marries in any case in which such marriage is void by reason of its taking place during the life of"
83,"Marriage ceremony fraudulently gone through without lawful marriage.—Whoever,","dishonestly or with a fraudulent intention, goes through the ceremony of being married, knowing that he"
83,Marriage ceremony fraudulently gone through without lawful marriage.,84. Enticing or taking away or detaining with criminal intent a married woman.
84,Enticing or taking away or detaining with criminal intent a married woman.—Whoever,takes or entices away any woman who is and whom he knows or has reason to believe to be the wife of
85,Husband or relative of husband of a woman subjecting her to cruelty.,86. Cruelty defined.
85,"Husband or relative of husband of a woman subjecting her to cruelty.—Whoever, being the","husband or the relative of the husband of a woman, subjects such woman to cruelty shall be punished"
86,"Cruelty defined.—For the purposes of section 85, “cruelty” means—",(a) any wilful conduct which is of such a nature as is likely to drive the woman to commit suicide
87,"Kidnapping, abducting or inducing woman to compel her marriage, etc.—Whoever kidnaps","or abducts any woman with intent that she may be compelled, or knowing it to be likely that she will be"
87,"Kidnapping, abducting or inducing woman to compel her marriage, etc.","Of causing miscarriage, etc."
88,"Causing miscarriage.—Whoever voluntarily causes a woman with child to miscarry, shall, if","such miscarriage be not caused in good faith for the purpose of saving the life of the woman, be punished"
88,Causing miscarriage.,89. Causing miscarriage without woman's consent.
89,Causing miscarriage without woman’s consent.—Whoever commits the offence under,"section 88 without the consent of the woman, whether the woman is quick with child or not, shall be"
90,"Death caused by act done with intent to cause miscarriage.—(1) Whoever, with intent to","cause the miscarriage of a woman with child, does any act which causes the death of such woman, shall"
90,Death caused by act done with intent to cause miscarriage.,91. Act done with intent to prevent child being born alive or to cause to die after birth.
91,Act done with intent to prevent child being born alive or to cause to die after birth.—,Whoever before the birth of any child does any act with the intention of thereby preventing that child
92,Causing death of quick unborn child by act amounting to culpable homicide.,Of offences against child
92,Causing death of quick unborn child by act amounting to culpable homicide.—Whoever,"does any act under such circumstances, that if he thereby caused death he would be guilty of culpable"
93,"Exposure and abandonment of child under twelve years of age, by parent or person having",care of it.
93,"Exposure and abandonment of child under twelve years of age, by parent or person having","care of it.—Whoever being the father or mother of a child under the age of twelve years, or having the"
94,Concealment of birth by secret disposal of dead body.,"95. Hiring, employing or engaging a child to commit an offence."
94,"Concealment of birth by secret disposal of dead body.—Whoever, by secretly burying or","otherwise disposing of the dead body of a child whether such child die before or after or during its birth,"
95,"Hiring, employing or engaging a child to commit an offence.—Whoever hires, employs or",engages any child to commit an offence shall be punished with imprisonment of either description which
96,"Procuration of child.—Whoever, by any means whatsoever, induces any child to go from any","place or to do any act with intent that such child may be, or knowing that it is likely that such child will"
96,Procuration of child.,97. Kidnapping or abducting child under ten years of age with intent to steal from its person.
97,Kidnapping or abducting child under ten years of age with intent to steal from its person.—,Whoever kidnaps or abducts any child under the age of ten years with the intention of taking dishonestly
98,"Selling child for purposes of prostitution, etc.","99. Buying child for purposes of prostitution, etc."
98,"Selling child for purposes of prostitution, etc.—Whoever sells, lets to hire, or otherwise",disposes of any child with intent that such child shall at any age be employed or used for the purpose of
99,"Buying child for purposes of prostitution, etc.—Whoever buys, hires or otherwise obtains",possession of any child with intent that such child shall at any age be employed or used for the purpose of
100,Culpable homicide.—Whoever causes death by doing an act with the intention of causing,"death, or with the intention of causing such bodily injury as is likely to cause death, or with the"
100,Culpable homicide.,101. Murder.
101,"123. Causing hurt by means of poison, etc., with intent to commit an offence.—Whoever","administers to or causes to be taken by any person any poison or any stupefying, intoxicating or"
101,"Murder.—Except in the cases hereinafter excepted, culpable homicide is murder,—",(a) if the act by which the death is caused is done with the intention of causing death; or
102,Culpable homicide by causing death of person other than person whose death was,"intended.—If a person, by doing anything which he intends or knows to be likely to cause death,"
102,Culpable homicide by causing death of person other than person whose death was intended.,103. Punishment for murder.
103,Punishment for murder.—(1) Whoever commits murder shall be punished with death or,"imprisonment for life, and shall also be liable to fine."
104,"Punishment for murder by life-convict.—Whoever, being under sentence of imprisonment for","life, commits murder, shall be punished with death or with imprisonment for life, which shall mean the"
104,Punishment for murder by life-convict.,105. Punishment for culpable homicide not amounting to murder.
105,Punishment for culpable homicide not amounting to murder.—Whoever commits culpable,"homicide not amounting to murder, shall be punished with imprisonment for life, or imprisonment of"
106,Causing death by negligence.—(1) Whoever causes death of any person by doing any rash or,"negligent act not amounting to culpable homicide, shall be punished with imprisonment of either"
106,Causing death by negligence.,107. Abetment of suicide of child or person of unsound mind.
107,"Abetment of suicide of child or person of unsound mind.—If any child, any person of","unsound mind, any delirious person or any person in a state of intoxication, commits suicide, whoever"
108,"Abetment of suicide.—If any person commits suicide, whoever abets the commission of such","suicide, shall be punished with imprisonment of either description for a term which may extend to ten"
108,Abetment of suicide.,109. Attempt to murder.
109,"Attempt to murder.—(1) Whoever does any act with such intention or knowledge, and under","such circumstances that, if he by that act caused death, he would be guilty of murder, shall be punished"
110,Attempt to commit culpable homicide.—Whoever does any act with such intention or,"knowledge and under such circumstances that, if he by that act caused death, he would be guilty of"
111,Organised crime.,112. Petty organised crime.
111,"Organised crime.—(1) Any continuing unlawful activity including kidnapping, robbery,","vehicle theft, extortion, land grabbing, contract killing, economic offence, cyber-crimes, trafficking of"
112,"Petty organised crime.—(1) Whoever, being a member of a group or gang, either singly or","jointly, commits any act of theft, snatching, cheating, unauthorised selling of tickets, unauthorised betting"
113,Terrorist act.,Of hurt
113,Terrorist act.—(1) Whoever does any act with the intent to threaten or likely to threaten the,"unity, integrity, sovereignty, security, or economic security of India or with the intent to strike terror or"
114,"Hurt.—Whoever causes bodily pain, disease or infirmity to any person is said to cause hurt.",115. Voluntarily causing hurt.—(1) Whoever does any act with the intention of thereby causing
114,Hurt.,115. Voluntarily causing hurt.
116,Grievous hurt.,117. Voluntarily causing grievous hurt.
116,"Grievous hurt.—The following kinds of hurt only are designated as “grievous”, namely:—",(a) Emasculation;
117,"Voluntarily causing grievous hurt.—(1) Whoever voluntarily causes hurt, if the hurt which he","intends to cause or knows himself to be likely to cause is grievous hurt, and if the hurt which he causes is"
118,"Voluntarily causing hurt or grievous hurt by dangerous weapons or means.—(1) Whoever,","except in the case provided for by sub-section (1) of section 122, voluntarily causes hurt by means of any"
118,Voluntarily causing hurt or grievous hurt by dangerous weapons or means.,"119. Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act."
119,"Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal","act.—(1) Whoever voluntarily causes hurt for the purpose of extorting from the sufferer, or from any"
120,"Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of",property.
120,"Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of",property.—(1) Whoever voluntarily causes hurt for the purpose of extorting from the sufferer or from
